Ticker,outstandingShares,trainingVolume,averageTrainingVolume,relativeTrainingVolume,trainingTurnoverRatio
HIMS,210100992,31501300,17086060.0,1.8436842665892546,0.14993408503278272
IONQ,216392000,27705800,27894445.0,0.9932371839626133,0.12803523235609449
BAC,7672880128,38583600,33356545.0,1.1567025301931,0.005028568067836756
KSS,111318000,8341000,13435795.0,0.6208043513614192,0.07492948130580858
QBTS,247006000,121957200,80215055.0,1.5203779390290264,0.4937418524246375
ET,3423920128,14762000,16572465.0,0.8907546342683481,0.0043114323489265695
WULF,385908000,23184200,24519125.0,0.9455557651425163,0.0600770131741244
LYFT,406286016,12668600,13949220.0,0.908194149923795,0.031181481766775848
SYM,106353000,2835800,4072345.0,0.6963555396215203,0.026664033924759998
GOLD,1748050048,24976800,20183205.0,1.2375041525862716,0.014288378086529477
SAVA,48110500,3300600,12536815.0,0.26327260951046977,0.06860456657070702
WFC,3329489920,16444600,16967795.0,0.9691654101195825,0.0049390748718650575
AVGO,4670580224,40845200,38434910.0,1.06271095730418,0.008745208955006273
JOBY,765086016,21058400,22578010.0,0.9326951312361009,0.027524225459114912
AMCR,1445340032,16037000,17027135.0,0.9418495830331997,0.011095658907204474
DNN,892617984,18035700,21276105.0,0.8476974521417336,0.020205396175392316
GGB,1339260032,17807200,11703340.0,1.521548549388465,0.013296297637888442
MSFT,7434880000,22963700,21397685.0,1.073186188132034,0.003088644335887062
TRNR,903627,180500,2402665.0,0.07512491337743714,0.19975056079554948
MU,1114169984,91396800,25759160.0,3.54812812219032,0.08203128904251651
AES,711027008,15220600,15211455.0,1.0006011916677267,0.02140650049681376
BB,591582976,20999500,15510025.0,1.3539307641348095,0.03549713371062253
HPE,1315330048,18372300,16190290.0,1.1347727557690444,0.013967825054962935
PBR,3721120000,16353200,16722130.0,0.9779376191908566,0.00439469837038311
JD,1449500032,7279600,10479850.0,0.6946282628091051,0.005022145456565261
APLT,116356000,6403300,11452310.0,0.5591273725562791,0.055031970848086906
HOOD,763563008,25513100,26377350.0,0.9672351468210415,0.03341322161065194
AMC,381471008,13516300,19320440.0,0.6995855166859554,0.03543205044824796
ASPI,71390096,2272900,5787840.0,0.392702631724443,0.03183774959484576
XPEV,773772032,6506600,10732220.0,0.6062678551129217,0.008408936651770841
AAL,657131008,17832700,26467210.0,0.6737657652619977,0.027137206710537695
WMT,8033390080,16606500,18199960.0,0.9124470603232095,0.0020671845677385555
SNAP,1423059968,26885300,28805010.0,0.9333549962315584,0.01889259806653489
WDAY,214000000,4828900,4316125.0,1.1188044831880448,0.02256495327102804
WBA,863488000,19414400,26622190.0,0.7292563083653149,0.022483694040913133
BABA,2382479872,13795100,14280300.0,0.9660231227635274,0.005790227301446012
AU,503515008,2274600,4672245.0,0.4868323471906974,0.004517442308293619
COIN,204910000,11708600,12911815.0,0.9068128686788031,0.05714020789614953
KO,4307800064,21300600,20398765.0,1.044210274494559,0.004944658452932323
KGC,1229049984,17242900,16036660.0,1.0752176575421566,0.014029453825695669
LX,128742000,3247100,5311110.0,0.6113787889913784,0.025221761352161687
IFBD,1986970,29100,1034625.0,0.028126132656759697,0.014645414877929712
UBER,2105709952,27811400,30544070.0,0.9105335340051277,0.013207611985489634
NOK,5388100096,18121200,14633565.0,1.2383311927066303,0.0033631891904630272
GME,446800000,10338200,14004020.0,0.7382308794189097,0.023138316920322293
RIG,875804032,29562100,20716290.0,1.4269977877312974,0.03375424058335461
CSCO,3982759936,21947800,19400375.0,1.1313080288396486,0.0055107012103879915
BZ,364894016,3290400,5657935.0,0.5815549312602566,0.009017412880785636
GOOG,5534000128,26981200,22616090.0,1.1930090479830953,0.004875532955535197
VZ,4209629952,17859100,16560070.0,1.0784435089948292,0.004242439407652713
HUT,93678704,7806800,8500425.0,0.9184011387665911,0.08333590951471745
AGNC,885640000,21140300,14867635.0,1.4219006587127005,0.0238700826520934
BE,228576000,9334500,7907400.0,1.1804765156688672,0.04083762074758505
YMM,939156992,4206200,12727180.0,0.33048955070958375,0.004478697423146055
KVUE,1917260032,13048400,12885110.0,1.0126727672483975,0.00680575393124348
BTG,1311399936,17075500,14622825.0,1.1677292178494922,0.013020818082455664
LUNR,92609504,13936300,17228585.0,0.8089056646265494,0.1504845550193207
GM,1099600000,11211900,12375160.0,0.9060004072674616,0.010196344125136413
RXRX,383724000,16490600,16137720.0,1.0218667816767177,0.0429751592290292
PARA,626273024,9067300,11215420.0,0.8084672709537405,0.014478190266103494
XOM,4395089920,20565600,16986705.0,1.2106880057079934,0.004679221671077892
SMR,101097000,9441800,9909535.0,0.9527995006829281,0.09339347359466652
CRWD,246311008,4375900,4306290.0,1.0161647264814957,0.017765750851054127
APLD,211246000,19621200,18106255.0,1.083669704198908,0.0928831788530907
WDC,345708000,13538900,5945195.0,2.2772844288538896,0.03916281948927997
HL,637014976,10611000,10398980.0,1.020388538106622,0.016657379182243904
ZIM,120389000,3608900,7934410.0,0.4548416328372242,0.02997699125335371
BTE,787328000,12104200,11229265.0,1.0779156071212141,0.015373770525117868
LUMN,1014809984,23082800,12723155.0,1.8142355414203475,0.022745933094800927
PTON,363318016,10401300,13815575.0,0.7528676873745754,0.02862863811300786
MAC,252227008,2581100,3202510.0,0.8059615738904796,0.010233241953217
TSM,5186549760,10553400,12265295.0,0.8604277353296436,0.0020347630868965193
MRK,2529639936,12110800,13505155.0,0.8967538691706981,0.004787558825130755
C,1891260032,13464300,13423385.0,1.003048038926098,0.007119221985440868
TEVA,1133049984,14458000,11659660.0,1.2400018525411547,0.01276024906594059
CNH,1248979968,9768500,11178210.0,0.8738876796911134,0.0078211822849668
WOLF,127713000,9560500,12644015.0,0.7561284924132089,0.07485925473522664
JBLU,346876992,14346900,18055135.0,0.7946160469030001,0.04136019491312932
CIFR,347806016,10619900,10762155.0,0.9867819223937957,0.03053397443246065
PDD,1388770048,10898800,12385685.0,0.8799513309114514,0.007847807501101867
LYG,15008400384,9614000,9753395.0,0.985708053452157,0.0006405745951613334
OWL,568430976,6038000,6991405.0,0.863631845101235,0.010622221967016801
NOVA,124953000,11482000,9777755.0,1.1742981901264657,0.09189055084711852
INFY,4142030080,9178400,6880135.0,1.3340435907144264,0.002215918238816846
CCL,1164000000,21381700,18681940.0,1.1445117584148112,0.018369158075601376
