Ticker,outstandingShares,volume,averageVolume,relativeVolume,turnoverRatio
AMC,381471008,23030500,20079840.0,1.1469463900110757,0.06037287111475586
ASPI,71390096,3496700,5738885.0,0.609299541635701,0.04898018346970706
AAL,657131008,28634300,26860995.0,1.0660178448341173,0.043574720491655755
SNAP,1423059968,38537200,29660335.0,1.299284043824859,0.027080517242123698
WBA,863488000,29978900,27153795.0,1.1040408900487022,0.03471837477764601
COIN,204910000,9972100,12151050.0,0.8206780483991095,0.048665755697623346
KGC,1229049984,25657800,16617210.0,1.5440498134163316,0.020876124107251932
LX,128742000,10493600,5756485.0,1.822917978592839,0.08150875394199252
GME,446800000,19519000,14450610.0,1.3507388269422536,0.043686213070725156
RIG,875804032,30875600,21305945.0,1.4491542149386005,0.03525400531611163
CSCO,3982759936,69514800,22067995.0,3.1500279023989264,0.017453926703354283
BZ,364894016,5729500,5716645.0,1.002248696569404,0.015701819566150407
HUT,93678704,7331100,8427525.0,0.8698995256614487,0.07825791441350427
AGNC,885640000,34093400,16043890.0,2.1250083365069194,0.03849577706517321
BE,228576000,6373300,7742615.0,0.823145668485389,0.027882629847403053
BTG,1311399936,25182200,15270020.0,1.6491268511763573,0.019202532582707096
GM,1099600000,23917000,13004675.0,1.8391078592890633,0.0217506365951255
RXRX,383724000,19814600,16510765.0,1.2001018729295705,0.051637635383765416
PARA,626273024,18990400,11603885.0,1.6365553433182076,0.030322877199321936
SMR,101097000,9655700,9798220.0,0.9854545009195548,0.09550926338071357
CRWD,246311008,5211400,4339165.0,1.2010144808966703,0.02115780387695868
WDC,345708000,12732400,6379840.0,1.9957240306966946,0.03682992583336226
HL,637014976,19876400,10898890.0,1.8237086528995154,0.031202406142489182
BTE,787328000,15169100,11337200.0,1.3379935080972374,0.01926655726711104
LUMN,1014809984,43512600,14263195.0,3.0506909566895777,0.04287758367186108
PTON,363318016,13950200,13470550.0,1.035607306308948,0.038396664590395646
MAC,252227008,7833000,3549800.0,2.206603188912051,0.031055357878249104
C,1891260032,27718800,14239810.0,1.9465709163254286,0.01465626065744512
WOLF,127713000,12449200,12737930.0,0.9773330517595873,0.09747793881593886
JBLU,346876992,23111800,18480370.0,1.2506134887991962,0.06662822998649619
CIFR,347806016,14835100,10995385.0,1.3492115101017381,0.04265337377028004
OWL,568430976,8598900,6947855.0,1.2376337733012563,0.01512743035312699
NOVA,124953000,13032600,9775040.0,1.3332528562542967,0.10430001680631917
CCL,1164000000,60892900,20771110.0,2.9316151134917683,0.05231348797250859
XP,433628992,10169600,8929540.0,1.1388716552028435,0.02345230643618958
MPW,600400000,22914900,13016245.0,1.7604846866358155,0.03816605596269154
HBAN,1452809984,42151200,14338220.0,2.9397791357644114,0.02901356713143293
HSAI,97445000,3479700,5556720.0,0.6262147453893664,0.03570937451895941
LESL,184968992,10055100,8521065.0,1.180028552768932,0.05436100338374553
