Ticker,outstandingShares,volume,averageVolume,relativeVolume,turnoverRatio,VWAP,recentClose,momentum (%),latestCrossover,crossoverDate,daysSinceCrossover,RSI,latestUpper,latestMiddle,latestLower
OPEN,715070016,36689500,44386470.0,0.8265919772399112,0.0513089616108305,2.0309447277022543,1.690000057220459,-16.787491349778346,Bearish,2024-12-12,10,36.575440739968016,2.437639108251716,2.052250009775162,1.6668609112986077
DELL,357336992,12217500,10332965.0,1.182380855833732,0.0341904148563493,120.80997650544134,115.7699966430664,-4.171824221940753,Bearish,2024-11-27,25,38.865821189368795,142.4998775671511,124.14599952697753,105.79212148680398
CLSK,280801984,29616000,42032115.0,0.7046040866608783,0.1054693402736071,13.246653664830417,11.140000343322754,-15.903286783293675,Bearish,2024-11-20,32,40.21467233421543,15.841207789235202,13.261500024795533,10.681792260355863
NU,3755130112,69270900,50547635.0,1.3704083286982665,0.018447003947649,13.47721503832579,10.380000114440918,-22.981119727459838,Bearish,2024-11-15,37,25.0941288067101,14.262492743878934,12.111499881744384,9.960507019609835
AMD,1622809984,53366800,37697255.0,1.415668063894838,0.0328854274537172,149.75793821697073,119.20999908447266,-20.398210269321368,Bearish,2024-12-10,12,27.27547482384491,148.54807596277846,132.80400009155272,117.05992422032699
RIOT,343927008,34537900,39786725.0,0.8680759725762801,0.1004221802784386,10.461693710683214,11.550000190734863,10.402775211630393,Bearish,2024-12-18,4,47.383810438414514,13.893687600841647,12.255500030517577,10.617312460193508
F,3903439872,87566200,59984755.0,1.4598075794424767,0.0224330853994002,11.128287305047023,9.880000114440918,-11.217244454499012,Bearish,2024-12-02,20,34.08532320151049,11.544617745250527,10.551000022888184,9.557382300525841
PFE,5666990080,116185100,45380205.0,2.5602594787749418,0.0205020828270092,27.96381502477045,26.360000610351562,-5.735320495426763,Bullish,2024-11-26,26,53.045603997704404,26.456669592112082,25.760999965667725,25.06533033922337
HPQ,937798016,17752800,9807410.0,1.810141515445974,0.0189303023648111,35.60963408435465,32.939998626708984,-7.49694717817556,Bearish,2024-11-27,25,35.2563970803069,39.29085907865819,35.498999786376956,31.707140494095725
RKLB,499911008,25022900,23800620.0,1.0513549647026,0.0500547089373155,13.556001894128915,24.8700008392334,83.46117855003075,Bearish,2024-12-05,17,59.53371848868842,26.81465325659367,24.21525020599365,21.615847155393634
WBD,2453169920,52770300,32706035.0,1.613472865176106,0.0215110659762206,8.508935134160927,10.6899995803833,25.632636890908095,Bearish,2024-12-18,4,53.01222490169074,12.00690354226806,10.808499956130982,9.610096369993904
HIMS,210100992,17260100,16746345.0,1.0306786346513224,0.0821514445776629,22.14116594969079,26.200000762939453,18.33162184173659,Bearish,2024-12-11,11,44.358933105028356,35.102262460402706,30.500500202178955,25.898737943955204
WULF,385908000,25853200,24400990.0,1.0595143885555462,0.0669931693564269,5.643852951529207,6.610000133514404,17.118574673768183,Bearish,2024-12-18,4,45.56756045185219,8.433953664639382,7.351999950408936,6.270046236178488
LYFT,406286016,18588800,14290560.0,1.300774777195575,0.045752989933082,13.46269893500005,13.569999694824219,0.7970226500810331,Bearish,2024-11-21,31,33.82808193615167,18.69873025516372,15.77800006866455,12.85726988216538
SYM,106353000,3352300,4135510.0,0.8106134430819899,0.0315205024775981,27.315171148012084,23.989999771118164,-12.173349963197708,Bearish,2024-11-27,25,39.20342910631779,36.75964254742249,27.854000091552734,18.948357635682985
GOLD,1748050048,27205000,20293440.0,1.340580995632086,0.0155630555493111,18.620540621689464,15.460000038146973,-16.973409353437624,Bearish,2024-12-17,5,30.43488968521443,18.53938137594835,16.950999975204468,15.362618574460587
WFC,3329489920,50053800,18467075.0,2.7104346519413607,0.0150334739562749,61.84961467695651,70.33999633789062,13.727460882787678,Bearish,2024-12-02,20,46.22459847201548,78.43751225639164,73.11550025939941,67.79348826240718
