Ticker,outstandingShares,trainingVolume,averageTrainingVolume,relativeTrainingVolume,trainingTurnoverRatio,trainingVWAP,trainingClose,percentageChange,trainingMomentum (%),trainingCrossover,trainingCrossoverDate,daysSinceTrainingCrossover,trainingRSI,trainingUpper,trainingMiddle,trainingLower
KSS,111318000,8341000,13435795.0,0.6208043513614192,0.0749294813058085,18.61636503554825,13.859999656677246,102.23665531959341,-25.54937749549199,Bearish,2024-11-15,35,30.864963474753495,17.282171061133727,15.171500158309936,13.060829255486144
QBTS,247006000,121957200,80215055.0,1.5203779390290264,0.4937418524246375,4.369437142703079,6.369999885559082,101.09890381348465,45.785364968504574,Bearish,2024-10-31,7,62.03850058113996,8.226789977473606,4.355999982357025,0.48520998724044384
ET,3423920128,14762000,16572465.0,0.8907546342683481,0.0043114323489265,16.796255166418394,18.270000457763672,103.22933846636646,8.774249240341451,Bullish,2024-11-05,34,46.404345802263705,19.76851179084508,19.01500005722046,18.261488323595838
WULF,385908000,23184200,24519125.0,0.9455557651425164,0.0600770131741244,5.63537890264607,6.489999771118164,101.84900410829391,15.165277849743344,Bullish,2024-12-17,1,44.61354582062389,8.412765703851175,7.3709999322891235,6.329234160727073
LYFT,406286016,12668600,13949220.0,0.908194149923795,0.0311814817667758,13.461603606837896,13.579999923706055,99.92636061164934,0.8795112404588925,Bullish,2024-11-07,14,33.887222669541586,18.658823730440385,15.914000129699707,13.169176528959026
SYM,106353000,2835800,4072345.0,0.6963555396215203,0.0266640339247599,27.354765154823255,23.040000915527344,104.12325875799158,-15.773355080458886,Bullish,2024-11-19,8,35.93496072492309,37.90103760703065,28.46800012588501,19.034962644739366
GOLD,1748050048,24976800,20183205.0,1.2375041525862716,0.0142883780865294,18.65311615085126,15.229999542236328,101.51018058321539,-18.351446379958954,Bullish,2024-11-21,26,26.62856984589357,18.594263526428442,17.084000015258788,15.573736504089133
SAVA,48110500,3300600,12536815.0,0.2632726095104697,0.068604566570707,14.19450741924384,2.2899999618530273,102.62008488118009,-83.866999437061,Bearish,2024-11-25,21,22.42765877643137,21.603774352864683,5.738499999046326,-10.12677435477203
WFC,3329489920,16444600,16967795.0,0.9691654101195823,0.004939074871865,61.66411827870235,68.8499984741211,102.16412185445375,11.653260268704138,Bullish,2024-11-06,26,39.603313731214676,78.55243076639803,73.34000053405762,68.12757030171721
AVGO,4670580224,40845200,38434910.0,1.06271095730418,0.0087452089550062,171.79849119365778,218.32000732421875,101.13136033302068,27.07911798720057,Bearish,2024-11-13,21,62.99812297514797,241.21897789119998,185.31399993896486,129.40902198672973
