Ticker,Volume,outstandingShares,avgVolume,recentVolume,turnoverRatio,relativeVolume
XP,128089700,433628992,6099510,11429100,0.2953900739183048,1.8737734670489925
MPW,256137100,600400000,12197005,8938000,0.4266107594936709,0.7328028479122539
BBAI,333058700,250586000,15859938,59769800,1.3291193442570615,3.7686023741076413
HBAN,314664200,1452809984,14984010,8979000,0.21659005889651156,0.5992387885485928
HSAI,71424700,97445000,3401176,3134500,0.7329744984350146,0.9215930019499138
LESL,130749500,184968992,6226167,7168200,0.7068725335325393,1.1513022377973479
MRVL,265426900,866200000,12639376,25015400,0.3064268067420919,1.979164161268721
PAGS,153989400,191528992,7332829,4424100,0.804000472158283,0.6033278561384698
NKE,229423900,1190599936,10924948,9414500,0.1926960459705585,0.8617432320959331
TNYA,113716700,79220496,5415081,3741000,1.435445443310529,0.6908483917415086
